year,言情,纯爱,无CP,百合,多元
2003,89.112,10.331,0.074,0.483,0.0
2004,81.09,18.19,0.012,0.66,0.0
2005,80.052,18.962,0.059,0.904,0.01
2006,78.447,20.756,0.052,0.67,0.007
2007,79.311,19.854,0.072,0.643,0.0
2008,74.921,22.124,0.095,2.099,0.006
2009,73.458,21.601,0.144,3.257,0.007
2010,69.553,24.211,0.16,3.499,0.008
2011,67.32,26.098,0.22,3.779,0.019
2012,64.71,28.974,0.309,3.637,0.014
2013,66.07,28.812,0.446,3.651,0.025
2014,63.177,28.353,4.712,3.614,0.017
2015,61.272,27.409,7.566,3.686,0.032
2016,59.547,28.1,7.947,4.124,0.037
2017,59.007,27.888,8.376,4.444,0.053
2018,55.121,31.961,8.3,4.564,0.054
2019,54.115,32.643,8.361,4.796,0.085
2020,48.259,38.402,7.715,5.56,0.063
2021,45.815,39.217,7.391,7.488,0.089
2022,54.443,30.601,7.722,7.101,0.132
2023,50.618,32.119,9.715,7.232,0.316
2024,44.834,34.054,9.641,7.513,3.957
2025,40.35,37.077,7.413,8.185,6.975
2026,40.188,38.201,7.843,8.208,5.56
